"Cube Field Type","Cube Field Name","Parent Name","Dataset Name/RF Name","Source Type","Source Name","Source Field Name","Description"
"Level","Segment","CustomerName.H_CustomerName","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","Segment",""
"Level","CustomerName","CustomerName.H_CustomerName","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","CustomerName",""
"Attribute","CustomerID","CustomerName","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","CustomerID",""
"Level","Country","Geo.H_Geo","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","Country",""
"Level","State","Geo.H_Geo","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","State",""
"Level","Region","Geo.H_Geo","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","Region",""
"Level","City","Geo.H_Geo","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","City",""
"Attribute","PostalCode","Geo","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","PostalCode",""
"Attribute","OrderID","Order","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","OrderID",""
"Attribute","OrderPriority","Order","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","OrderPriority",""
"Level","Year","Orders Date.H_Orders Date","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","OrderDate",""
"Level","Quarter","Orders Date.H_Orders Date","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","OrderDate",""
"Level","Month","Orders Date.H_Orders Date","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","OrderDate",""
"Level","Week","Orders Date.H_Orders Date","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","OrderDate",""
"Level","Day","Orders Date.H_Orders Date","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","OrderDate",""
"Attribute","OrderDate","Orders Date","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","OrderDate",""
"Level","Category","Product.H_Product","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","Category",""
"Level","Sub_Category","Product.H_Product","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","Sub-Category",""
"Level","ProductName","Product.H_Product","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","ProductName",""
"Attribute","ProductID","Product","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","ProductID",""
